'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:00.021',-0.193,0.104,0.297,0.044,-0.245,0.201,-0.708,0.245,1.196,0.272,-0.078,0.264,-0.023,0.128,0.388
'0:00.022',-0.193,0.106,0.300,0.043,-0.246,0.203,-0.711,0.245,1.198,0.272,-0.081,0.261,-0.024,0.129,0.388
'0:00.023',-0.193,0.108,0.301,0.043,-0.247,0.205,-0.708,0.246,1.198,0.271,-0.084,0.257,-0.025,0.129,0.390
'0:00.024',-0.197,0.105,0.302,0.046,-0.250,0.204,-0.708,0.248,1.198,0.272,-0.085,0.254,-0.026,0.128,0.394
'0:00.025',-0.200,0.100,0.300,0.051,-0.250,0.200,-0.708,0.250,1.201,0.273,-0.083,0.258,-0.026,0.126,0.393
'0:00.026',-0.196,0.105,0.301,0.045,-0.249,0.203,-0.700,0.249,1.208,0.270,-0.085,0.257,-0.022,0.134,0.392
'0:00.027',-0.191,0.108,0.299,0.042,-0.245,0.204,-0.700,0.247,1.212,0.264,-0.088,0.254,-0.021,0.141,0.390
'0:00.028',-0.188,0.113,0.300,0.037,-0.244,0.206,-0.706,0.247,1.210,0.264,-0.089,0.252,-0.021,0.140,0.390
'0:00.029',-0.185,0.117,0.303,0.034,-0.244,0.211,-0.719,0.248,1.203,0.268,-0.091,0.251,-0.025,0.136,0.393
'0:00.030',-0.181,0.122,0.304,0.029,-0.243,0.213,-0.724,0.246,1.198,0.269,-0.088,0.253,-0.025,0.134,0.392
'0:00.031',-0.186,0.116,0.302,0.035,-0.244,0.209,-0.719,0.249,1.194,0.271,-0.085,0.254,-0.025,0.130,0.392
'0:00.032',-0.190,0.111,0.301,0.039,-0.245,0.206,-0.718,0.249,1.194,0.271,-0.084,0.256,-0.025,0.127,0.390
'0:00.033',-0.189,0.110,0.299,0.040,-0.244,0.205,-0.718,0.249,1.194,0.270,-0.082,0.259,-0.025,0.126,0.388
'0:00.034',-0.189,0.108,0.297,0.040,-0.243,0.203,-0.718,0.248,1.192,0.267,-0.083,0.257,-0.028,0.126,0.383
'0:00.035',-0.191,0.110,0.301,0.040,-0.246,0.206,-0.724,0.246,1.190,0.265,-0.086,0.254,-0.029,0.123,0.384
'0:00.036',-0.192,0.107,0.300,0.043,-0.246,0.204,-0.730,0.248,1.183,0.269,-0.085,0.255,-0.031,0.116,0.388
'0:00.037',-0.197,0.104,0.301,0.046,-0.249,0.203,-0.733,0.249,1.176,0.272,-0.084,0.255,-0.034,0.112,0.389
'0:00.038',-0.197,0.101,0.297,0.048,-0.247,0.200,-0.725,0.250,1.179,0.273,-0.082,0.259,-0.033,0.114,0.388
'0:00.039',-0.195,0.098,0.293,0.048,-0.244,0.196,-0.711,0.248,1.188,0.270,-0.082,0.258,-0.032,0.117,0.384
'0:00.040',-0.199,0.095,0.294,0.052,-0.246,0.195,-0.706,0.250,1.195,0.269,-0.082,0.255,-0.030,0.121,0.385
'0:00.041',-0.193,0.100,0.292,0.046,-0.242,0.196,-0.707,0.250,1.196,0.267,-0.083,0.255,-0.029,0.123,0.383
'0:00.042',-0.193,0.103,0.296,0.044,-0.245,0.201,-0.707,0.252,1.199,0.267,-0.084,0.254,-0.029,0.126,0.384
'0:00.043',-0.195,0.105,0.300,0.045,-0.247,0.203,-0.707,0.251,1.200,0.269,-0.086,0.251,-0.029,0.127,0.387
'0:00.044',-0.197,0.103,0.300,0.046,-0.248,0.202,-0.706,0.249,1.196,0.272,-0.086,0.249,-0.029,0.122,0.391
'0:00.045',-0.197,0.099,0.296,0.049,-0.246,0.198,-0.704,0.251,1.200,0.272,-0.084,0.253,-0.028,0.121,0.390
'0:00.046',-0.194,0.103,0.297,0.045,-0.245,0.200,-0.697,0.250,1.208,0.268,-0.088,0.251,-0.025,0.129,0.388
'0:00.047',-0.189,0.108,0.298,0.040,-0.244,0.203,-0.697,0.248,1.214,0.261,-0.089,0.249,-0.023,0.139,0.385
'0:00.048',-0.184,0.114,0.298,0.035,-0.241,0.206,-0.707,0.247,1.212,0.261,-0.091,0.247,-0.025,0.140,0.385
'0:00.049',-0.183,0.118,0.302,0.033,-0.243,0.210,-0.721,0.247,1.204,0.267,-0.092,0.247,-0.028,0.132,0.388
'0:00.050',-0.182,0.122,0.304,0.030,-0.243,0.213,-0.730,0.247,1.197,0.269,-0.090,0.250,-0.028,0.129,0.389
'0:00.051',-0.186,0.117,0.304,0.035,-0.245,0.210,-0.729,0.249,1.196,0.271,-0.088,0.252,-0.029,0.127,0.390
'0:00.052',-0.187,0.113,0.300,0.037,-0.244,0.207,-0.728,0.251,1.196,0.273,-0.087,0.256,-0.029,0.124,0.387
'0:00.053',-0.186,0.110,0.296,0.038,-0.241,0.203,-0.728,0.253,1.198,0.274,-0.085,0.259,-0.029,0.121,0.385
'0:00.054',-0.183,0.110,0.293,0.036,-0.238,0.202,-0.727,0.253,1.198,0.272,-0.084,0.257,-0.030,0.121,0.382
'0:00.055',-0.182,0.113,0.295,0.035,-0.239,0.204,-0.729,0.252,1.194,0.270,-0.088,0.254,-0.030,0.120,0.382
'0:00.056',-0.183,0.108,0.292,0.037,-0.238,0.200,-0.734,0.256,1.188,0.272,-0.086,0.256,-0.033,0.110,0.383
'0:00.057',-0.190,0.100,0.289,0.045,-0.240,0.195,-0.732,0.263,1.185,0.277,-0.086,0.255,-0.035,0.101,0.385
'0:00.058',-0.193,0.090,0.283,0.051,-0.238,0.187,-0.719,0.270,1.188,0.279,-0.086,0.254,-0.035,0.098,0.383
'0:00.059',-0.194,0.080,0.273,0.057,-0.234,0.176,-0.699,0.279,1.200,0.275,-0.089,0.249,-0.035,0.096,0.376
'0:00.060',-0.203,0.066,0.269,0.069,-0.235,0.167,-0.685,0.288,1.203,0.275,-0.097,0.241,-0.034,0.089,0.375
'0:00.061',-0.202,0.057,0.260,0.072,-0.231,0.159,-0.677,0.298,1.206,0.274,-0.107,0.233,-0.033,0.081,0.373
'0:00.062',-0.203,0.042,0.244,0.081,-0.224,0.143,-0.660,0.319,1.214,0.272,-0.122,0.218,-0.036,0.068,0.371
'0:00.063',-0.207,0.016,0.224,0.096,-0.216,0.120,-0.628,0.350,1.224,0.272,-0.139,0.200,-0.042,0.043,0.367
'0:00.064',-0.213,-0.021,0.193,0.118,-0.203,0.086,-0.591,0.394,1.240,0.273,-0.159,0.181,-0.047,0.007,0.363
'0:00.065',-0.217,-0.070,0.147,0.143,-0.182,0.038,-0.545,0.449,1.266,0.269,-0.178,0.162,-0.057,-0.034,0.352
'0:00.066',-0.212,-0.113,0.100,0.163,-0.156,-0.006,-0.490,0.506,1.294,0.261,-0.202,0.138,-0.062,-0.070,0.341
'0:00.067',-0.203,-0.148,0.056,0.175,-0.130,-0.046,-0.447,0.555,1.321,0.252,-0.221,0.121,-0.068,-0.100,0.329
'0:00.068',-0.201,-0.180,0.021,0.190,-0.111,-0.080,-0.412,0.605,1.341,0.247,-0.244,0.099,-0.077,-0.137,0.319
'0:00.069',-0.202,-0.221,-0.018,0.211,-0.092,-0.119,-0.373,0.667,1.355,0.250,-0.271,0.074,-0.086,-0.188,0.312
'0:00.070',-0.198,-0.258,-0.059,0.228,-0.070,-0.158,-0.321,0.735,1.376,0.249,-0.297,0.052,-0.093,-0.231,0.295
'0:00.071',-0.200,-0.296,-0.097,0.248,-0.052,-0.196,-0.270,0.795,1.396,0.250,-0.322,0.034,-0.099,-0.266,0.281
'0:00.072',-0.197,-0.322,-0.124,0.259,-0.036,-0.223,-0.236,0.842,1.416,0.247,-0.330,0.026,-0.101,-0.289,0.267
'0:00.073',-0.194,-0.328,-0.134,0.261,-0.030,-0.231,-0.216,0.868,1.427,0.248,-0.335,0.022,-0.102,-0.295,0.253
'0:00.074',-0.191,-0.309,-0.118,0.250,-0.036,-0.213,-0.210,0.870,1.429,0.250,-0.336,0.022,-0.098,-0.281,0.239
'0:00.075',-0.186,-0.276,-0.088,0.231,-0.050,-0.182,-0.210,0.874,1.440,0.255,-0.330,0.030,-0.099,-0.252,0.224
'0:00.076',-0.181,-0.240,-0.059,0.211,-0.061,-0.149,-0.217,0.883,1.451,0.264,-0.314,0.047,-0.101,-0.226,0.205
'0:00.077',-0.174,-0.190,-0.015,0.182,-0.080,-0.102,-0.232,0.881,1.471,0.272,-0.281,0.077,-0.104,-0.187,0.186
'0:00.078',-0.166,-0.132,0.034,0.148,-0.100,-0.049,-0.264,0.846,1.474,0.273,-0.241,0.116,-0.096,-0.132,0.178
'0:00.079',-0.151,-0.055,0.097,0.103,-0.124,0.021,-0.302,0.803,1.480,0.270,-0.198,0.155,-0.086,-0.052,0.167
'0:00.080',-0.137,0.022,0.159,0.057,-0.147,0.090,-0.349,0.768,1.496,0.265,-0.143,0.202,-0.084,0.021,0.164
'0:00.081',-0.115,0.096,0.210,0.009,-0.163,0.153,-0.391,0.752,1.517,0.258,-0.087,0.249,-0.086,0.084,0.151
'0:00.082',-0.092,0.152,0.244,-0.030,-0.169,0.199,-0.402,0.780,1.574,0.250,-0.027,0.292,-0.108,0.131,0.123
'0:00.083',-0.072,0.208,0.280,-0.069,-0.176,0.244,-0.440,0.759,1.587,0.239,0.038,0.340,-0.117,0.177,0.118
'0:00.084',-0.054,0.276,0.331,-0.111,-0.193,0.303,-0.478,0.730,1.593,0.236,0.103,0.396,-0.117,0.236,0.112
'0:00.085',-0.036,0.332,0.368,-0.148,-0.202,0.350,-0.508,0.700,1.611,0.232,0.172,0.453,-0.123,0.288,0.101
'0:00.086',-0.021,0.399,0.419,-0.190,-0.220,0.409,-0.528,0.657,1.622,0.230,0.235,0.502,-0.128,0.353,0.083
'0:00.087',0.002,0.485,0.482,-0.243,-0.240,0.484,-0.571,0.605,1.643,0.227,0.317,0.565,-0.137,0.432,0.060
'0:00.088',0.031,0.581,0.550,-0.306,-0.260,0.567,-0.665,0.522,1.651,0.218,0.413,0.639,-0.150,0.510,0.052
'0:00.089',0.049,0.694,0.645,-0.371,-0.298,0.670,-0.778,0.406,1.628,0.219,0.519,0.726,-0.158,0.603,0.050
'0:00.090',0.068,0.828,0.760,-0.448,-0.346,0.794,-0.932,0.220,1.556,0.223,0.625,0.817,-0.141,0.718,0.064
'0:00.091',0.070,0.962,0.891,-0.516,-0.410,0.927,-1.079,0.025,1.476,0.234,0.718,0.899,-0.122,0.840,0.085
'0:00.092',0.081,1.113,1.033,-0.597,-0.476,1.073,-1.226,-0.158,1.425,0.237,0.842,0.999,-0.122,0.975,0.090
'0:00.093',0.101,1.230,1.129,-0.665,-0.514,1.179,-1.343,-0.293,1.416,0.232,0.971,1.093,-0.147,1.079,0.075
'0:00.094',0.102,1.341,1.238,-0.722,-0.568,1.290,-1.407,-0.402,1.414,0.237,1.069,1.164,-0.171,1.181,0.042
'0:00.095',0.082,1.476,1.394,-0.779,-0.655,1.435,-1.468,-0.530,1.373,0.261,1.143,1.219,-0.174,1.306,0.011
'0:00.096',0.060,1.593,1.534,-0.827,-0.737,1.564,-1.538,-0.653,1.312,0.286,1.212,1.273,-0.173,1.415,0.001
'0:00.097',0.051,1.726,1.675,-0.888,-0.812,1.700,-1.615,-0.757,1.281,0.305,1.300,1.341,-0.182,1.534,-0.011
'0:00.098',0.052,1.867,1.815,-0.960,-0.881,1.841,-1.692,-0.838,1.305,0.316,1.393,1.412,-0.208,1.665,-0.045
'0:00.099',0.058,1.993,1.935,-1.026,-0.938,1.964,-1.763,-0.906,1.344,0.318,1.483,1.477,-0.241,1.784,-0.085
'0:00.100',0.068,2.086,2.018,-1.077,-0.975,2.053,-1.823,-0.962,1.377,0.317,1.567,1.532,-0.275,1.871,-0.114
'0:00.101',0.083,2.182,2.099,-1.133,-1.008,2.141,-1.882,-1.002,1.413,0.316,1.631,1.578,-0.307,1.955,-0.138
'0:00.102',0.091,2.233,2.142,-1.163,-1.025,2.188,-1.919,-1.026,1.446,0.312,1.692,1.619,-0.336,2.002,-0.147
'0:00.103',0.097,2.236,2.139,-1.167,-1.021,2.188,-1.942,-1.043,1.450,0.308,1.737,1.650,-0.356,2.007,-0.139
'0:00.104',0.086,2.163,2.077,-1.125,-0.996,2.120,-1.921,-1.030,1.440,0.314,1.739,1.645,-0.374,1.954,-0.123
'0:00.105',0.073,1.987,1.913,-1.030,-0.920,1.950,-1.829,-0.938,1.468,0.315,1.712,1.609,-0.405,1.811,-0.111
'0:00.106',0.057,1.810,1.752,-0.933,-0.848,1.781,-1.724,-0.833,1.498,0.316,1.648,1.545,-0.420,1.666,-0.086
'0:00.107',0.035,1.657,1.621,-0.846,-0.793,1.639,-1.633,-0.762,1.456,0.324,1.540,1.464,-0.378,1.541,-0.036
'0:00.108',0.005,1.521,1.516,-0.763,-0.754,1.518,-1.584,-0.740,1.311,0.334,1.392,1.371,-0.273,1.425,0.058
'0:00.109',-0.035,1.407,1.442,-0.686,-0.738,1.425,-1.581,-0.785,1.056,0.352,1.202,1.266,-0.098,1.329,0.204
'0:00.110',-0.075,1.319,1.395,-0.623,-0.735,1.357,-1.567,-0.835,0.795,0.374,0.990,1.153,0.086,1.254,0.344
'0:00.111',-0.137,1.212,1.349,-0.538,-0.742,1.280,-1.526,-0.877,0.516,0.398,0.746,1.018,0.292,1.169,0.501
'0:00.112',-0.188,1.100,1.288,-0.456,-0.738,1.194,-1.501,-0.930,0.254,0.417,0.511,0.893,0.499,1.078,0.656
'0:00.113',-0.218,1.004,1.222,-0.393,-0.720,1.113,-1.469,-0.927,0.167,0.433,0.356,0.795,0.561,0.997,0.722
'0:00.114',-0.235,0.947,1.183,-0.356,-0.709,1.065,-1.425,-0.886,0.162,0.446,0.252,0.719,0.565,0.952,0.738
'0:00.115',-0.255,0.905,1.161,-0.325,-0.708,1.034,-1.398,-0.867,0.135,0.463,0.147,0.645,0.582,0.917,0.764
'0:00.116',-0.279,0.843,1.123,-0.281,-0.701,0.983,-1.371,-0.836,0.129,0.486,0.065,0.576,0.564,0.862,0.777
'0:00.117',-0.295,0.778,1.075,-0.241,-0.685,0.926,-1.319,-0.769,0.168,0.505,0.011,0.519,0.522,0.803,0.767
'0:00.118',-0.307,0.703,1.010,-0.198,-0.659,0.857,-1.248,-0.693,0.231,0.510,-0.026,0.476,0.475,0.741,0.744
'0:00.119',-0.311,0.643,0.956,-0.166,-0.633,0.800,-1.184,-0.633,0.291,0.508,-0.049,0.445,0.441,0.697,0.722
'0:00.120',-0.330,0.579,0.909,-0.125,-0.619,0.744,-1.127,-0.587,0.331,0.513,-0.104,0.392,0.412,0.648,0.717
'0:00.121',-0.341,0.507,0.848,-0.084,-0.594,0.678,-1.078,-0.535,0.372,0.517,-0.171,0.328,0.374,0.586,0.707
'0:00.122',-0.346,0.439,0.784,-0.046,-0.565,0.612,-1.032,-0.480,0.420,0.516,-0.212,0.277,0.333,0.524,0.697
'0:00.123',-0.358,0.374,0.734,-0.007,-0.546,0.554,-0.994,-0.429,0.464,0.518,-0.240,0.233,0.297,0.465,0.692
'0:00.124',-0.365,0.304,0.670,0.030,-0.517,0.487,-0.973,-0.381,0.504,0.512,-0.258,0.205,0.268,0.404,0.693
'0:00.125',-0.363,0.226,0.589,0.069,-0.476,0.407,-0.948,-0.334,0.545,0.495,-0.267,0.188,0.241,0.335,0.697
'0:00.126',-0.358,0.172,0.530,0.093,-0.445,0.351,-0.920,-0.294,0.593,0.479,-0.269,0.171,0.218,0.285,0.689
'0:00.127',-0.351,0.141,0.493,0.105,-0.422,0.318,-0.909,-0.265,0.635,0.462,-0.266,0.166,0.202,0.259,0.679
'0:00.128',-0.339,0.126,0.465,0.106,-0.402,0.295,-0.914,-0.234,0.671,0.442,-0.257,0.168,0.184,0.234,0.668
'0:00.129',-0.322,0.124,0.447,0.099,-0.384,0.285,-0.926,-0.192,0.713,0.424,-0.237,0.177,0.162,0.219,0.655
'0:00.130',-0.308,0.126,0.434,0.091,-0.371,0.281,-0.938,-0.166,0.741,0.412,-0.223,0.183,0.146,0.209,0.640
'0:00.131',-0.304,0.117,0.422,0.093,-0.363,0.270,-0.932,-0.138,0.769,0.402,-0.209,0.191,0.133,0.194,0.624
'0:00.132',-0.294,0.113,0.408,0.090,-0.351,0.261,-0.928,-0.105,0.810,0.387,-0.189,0.207,0.117,0.188,0.602
'0:00.133',-0.276,0.111,0.387,0.083,-0.331,0.248,-0.921,-0.070,0.854,0.366,-0.164,0.224,0.100,0.175,0.575
'0:00.134',-0.254,0.123,0.377,0.066,-0.316,0.250,-0.904,-0.033,0.902,0.344,-0.139,0.240,0.082,0.175,0.545
'0:00.135',-0.242,0.142,0.385,0.051,-0.314,0.264,-0.893,-0.005,0.941,0.335,-0.120,0.251,0.066,0.184,0.518
'0:00.136',-0.235,0.151,0.387,0.042,-0.311,0.270,-0.877,0.034,0.979,0.329,-0.096,0.264,0.046,0.182,0.487
'0:00.137',-0.228,0.168,0.396,0.030,-0.312,0.282,-0.856,0.074,1.016,0.329,-0.075,0.279,0.029,0.188,0.461
'0:00.138',-0.222,0.177,0.399,0.022,-0.310,0.288,-0.823,0.112,1.057,0.328,-0.058,0.291,0.018,0.198,0.435
'0:00.139',-0.216,0.171,0.388,0.023,-0.302,0.280,-0.787,0.143,1.095,0.316,-0.048,0.297,0.011,0.200,0.415
'0:00.140',-0.214,0.168,0.382,0.024,-0.298,0.275,-0.759,0.171,1.126,0.312,-0.043,0.298,0.002,0.203,0.403
'0:00.141',-0.203,0.177,0.381,0.013,-0.292,0.280,-0.741,0.198,1.154,0.308,-0.035,0.301,-0.006,0.212,0.387
'0:00.142',-0.200,0.179,0.380,0.011,-0.290,0.280,-0.731,0.215,1.171,0.305,-0.032,0.303,-0.011,0.211,0.381
'0:00.143',-0.199,0.183,0.382,0.007,-0.290,0.282,-0.719,0.234,1.188,0.305,-0.030,0.303,-0.017,0.213,0.375
'0:00.144',-0.200,0.185,0.385,0.007,-0.293,0.285,-0.706,0.255,1.206,0.306,-0.025,0.306,-0.022,0.216,0.367
'0:00.145',-0.199,0.182,0.382,0.009,-0.290,0.282,-0.695,0.268,1.220,0.307,-0.022,0.307,-0.025,0.216,0.358
'0:00.146',-0.192,0.188,0.380,0.002,-0.286,0.284,-0.681,0.281,1.240,0.302,-0.022,0.304,-0.029,0.225,0.350
'0:00.147',-0.183,0.193,0.376,-0.005,-0.280,0.284,-0.666,0.295,1.260,0.295,-0.019,0.306,-0.032,0.232,0.342
'0:00.148',-0.179,0.194,0.374,-0.007,-0.277,0.284,-0.668,0.307,1.268,0.291,-0.020,0.304,-0.036,0.227,0.339
'0:00.149',-0.177,0.196,0.373,-0.009,-0.276,0.284,-0.681,0.317,1.268,0.292,-0.021,0.304,-0.043,0.220,0.340
'0:00.150',-0.172,0.195,0.367,-0.011,-0.270,0.281,-0.682,0.323,1.265,0.292,-0.021,0.304,-0.045,0.212,0.337
'0:00.151',-0.176,0.185,0.361,-0.004,-0.269,0.274,-0.680,0.327,1.264,0.293,-0.020,0.303,-0.048,0.204,0.337
'0:00.152',-0.175,0.181,0.356,-0.003,-0.266,0.269,-0.678,0.330,1.268,0.292,-0.018,0.304,-0.050,0.202,0.333
'0:00.153',-0.174,0.176,0.351,-0.002,-0.263,0.264,-0.675,0.333,1.272,0.292,-0.015,0.306,-0.052,0.199,0.330
'0:00.154',-0.170,0.176,0.345,-0.003,-0.258,0.261,-0.675,0.335,1.272,0.289,-0.018,0.304,-0.053,0.197,0.327
'0:00.155',-0.169,0.177,0.346,-0.004,-0.258,0.262,-0.677,0.337,1.270,0.287,-0.023,0.299,-0.055,0.193,0.326
'0:00.156',-0.173,0.172,0.346,0.001,-0.260,0.260,-0.684,0.341,1.267,0.288,-0.020,0.301,-0.059,0.185,0.327
'0:00.157',-0.178,0.167,0.346,0.006,-0.263,0.257,-0.687,0.344,1.262,0.291,-0.019,0.300,-0.061,0.176,0.329
'0:00.158',-0.179,0.161,0.341,0.009,-0.260,0.251,-0.680,0.346,1.268,0.290,-0.016,0.303,-0.061,0.173,0.326
'0:00.159',-0.176,0.158,0.334,0.009,-0.256,0.246,-0.666,0.351,1.282,0.286,-0.015,0.305,-0.059,0.178,0.323
'0:00.160',-0.182,0.149,0.332,0.017,-0.258,0.241,-0.658,0.355,1.292,0.286,-0.015,0.302,-0.061,0.177,0.323
'0:00.161',-0.177,0.154,0.332,0.011,-0.255,0.243,-0.658,0.357,1.296,0.284,-0.016,0.303,-0.061,0.180,0.321
'0:00.162',-0.174,0.158,0.333,0.008,-0.254,0.246,-0.656,0.360,1.300,0.284,-0.018,0.300,-0.065,0.182,0.320
'0:00.163',-0.173,0.161,0.335,0.006,-0.255,0.248,-0.657,0.362,1.304,0.284,-0.019,0.299,-0.066,0.182,0.321
'0:00.164',-0.176,0.160,0.336,0.009,-0.257,0.248,-0.655,0.366,1.309,0.286,-0.017,0.301,-0.067,0.180,0.324
'0:00.165',-0.178,0.152,0.332,0.013,-0.256,0.242,-0.649,0.370,1.315,0.286,-0.013,0.303,-0.069,0.177,0.320
'0:00.166',-0.173,0.155,0.330,0.009,-0.252,0.243,-0.644,0.370,1.327,0.283,-0.013,0.301,-0.069,0.184,0.317
'0:00.167',-0.170,0.160,0.330,0.005,-0.249,0.245,-0.639,0.371,1.337,0.279,-0.013,0.300,-0.068,0.192,0.312
'0:00.168',-0.166,0.166,0.332,0.000,-0.249,0.249,-0.644,0.373,1.337,0.279,-0.013,0.297,-0.071,0.191,0.312
'0:00.169',-0.166,0.170,0.337,-0.002,-0.252,0.254,-0.656,0.376,1.333,0.284,-0.012,0.297,-0.076,0.185,0.315
'0:00.170',-0.163,0.175,0.339,-0.006,-0.251,0.258,-0.659,0.378,1.329,0.286,-0.007,0.300,-0.077,0.183,0.312
'0:00.171',-0.165,0.172,0.337,-0.004,-0.251,0.255,-0.656,0.381,1.329,0.286,-0.006,0.301,-0.079,0.179,0.312
'0:00.172',-0.165,0.167,0.333,-0.001,-0.249,0.250,-0.657,0.383,1.329,0.286,-0.005,0.304,-0.081,0.176,0.309
'0:00.173',-0.163,0.167,0.330,-0.002,-0.246,0.248,-0.656,0.387,1.333,0.286,-0.001,0.308,-0.082,0.176,0.305
'0:00.174',-0.159,0.171,0.330,-0.006,-0.244,0.250,-0.653,0.387,1.335,0.283,0.001,0.308,-0.082,0.176,0.302
'0:00.175',-0.157,0.174,0.332,-0.009,-0.244,0.253,-0.656,0.388,1.335,0.281,-0.001,0.306,-0.083,0.175,0.301
'0:00.176',-0.161,0.171,0.331,-0.005,-0.245,0.251,-0.663,0.394,1.331,0.283,0.002,0.309,-0.086,0.170,0.303
'0:00.177',-0.164,0.167,0.331,-0.002,-0.247,0.248,-0.664,0.393,1.323,0.288,0.001,0.309,-0.087,0.163,0.306
'0:00.178',-0.163,0.164,0.328,-0.001,-0.245,0.246,-0.656,0.393,1.326,0.288,0.003,0.314,-0.086,0.166,0.304
'0:00.179',-0.162,0.161,0.323,0.000,-0.242,0.242,-0.642,0.395,1.337,0.282,0.004,0.316,-0.085,0.173,0.299
'0:00.180',-0.167,0.155,0.322,0.005,-0.244,0.239,-0.638,0.396,1.347,0.282,0.005,0.316,-0.084,0.172,0.298
'0:00.181',-0.163,0.160,0.323,0.002,-0.243,0.241,-0.641,0.395,1.352,0.280,0.006,0.316,-0.083,0.174,0.296
'0:00.182',-0.162,0.163,0.325,-0.001,-0.243,0.244,-0.639,0.397,1.353,0.280,0.007,0.314,-0.083,0.176,0.298
'0:00.183',-0.163,0.166,0.330,-0.002,-0.246,0.248,-0.641,0.398,1.355,0.281,0.007,0.314,-0.083,0.178,0.300
'0:00.184',-0.164,0.167,0.331,-0.002,-0.247,0.249,-0.644,0.400,1.359,0.284,0.007,0.315,-0.083,0.179,0.302
'0:00.185',-0.166,0.163,0.329,0.001,-0.247,0.246,-0.643,0.403,1.365,0.282,0.011,0.318,-0.083,0.180,0.299
'0:00.186',-0.162,0.168,0.330,-0.004,-0.245,0.249,-0.636,0.402,1.371,0.278,0.009,0.317,-0.082,0.189,0.297
'0:00.187',-0.155,0.172,0.327,-0.009,-0.241,0.249,-0.632,0.403,1.381,0.274,0.008,0.315,-0.083,0.196,0.294
'0:00.188',-0.154,0.176,0.331,-0.011,-0.242,0.254,-0.641,0.404,1.381,0.274,0.005,0.315,-0.085,0.194,0.295
'0:00.189',-0.154,0.181,0.336,-0.013,-0.245,0.259,-0.653,0.406,1.373,0.279,0.005,0.315,-0.087,0.189,0.297
'0:00.190',-0.149,0.188,0.337,-0.019,-0.243,0.263,-0.659,0.407,1.371,0.281,0.009,0.317,-0.089,0.188,0.295
