'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:00.018',-0.071,-0.337,-0.265,0.204,0.097,-0.301,-0.093,-0.064,-0.071,-0.126,-0.209,-0.157,-0.262,-0.256,0.026
'0:00.019',-0.068,-0.341,-0.272,0.204,0.102,-0.306,-0.087,-0.060,-0.068,-0.123,-0.207,-0.157,-0.265,-0.264,0.029
'0:00.020',-0.060,-0.335,-0.274,0.198,0.106,-0.304,-0.084,-0.058,-0.066,-0.122,-0.206,-0.155,-0.266,-0.269,0.030
'0:00.021',-0.061,-0.335,-0.272,0.198,0.105,-0.303,-0.085,-0.059,-0.070,-0.124,-0.207,-0.157,-0.265,-0.269,0.032
'0:00.022',-0.071,-0.344,-0.272,0.207,0.101,-0.308,-0.086,-0.060,-0.070,-0.123,-0.207,-0.156,-0.263,-0.269,0.032
'0:00.023',-0.076,-0.347,-0.271,0.212,0.097,-0.308,-0.088,-0.064,-0.072,-0.126,-0.207,-0.157,-0.263,-0.271,0.029
'0:00.024',-0.079,-0.341,-0.262,0.209,0.092,-0.301,-0.089,-0.066,-0.074,-0.128,-0.206,-0.156,-0.262,-0.270,0.026
'0:00.025',-0.079,-0.333,-0.253,0.205,0.087,-0.293,-0.091,-0.068,-0.072,-0.128,-0.206,-0.154,-0.261,-0.265,0.025
'0:00.026',-0.077,-0.324,-0.246,0.200,0.085,-0.285,-0.092,-0.069,-0.075,-0.127,-0.205,-0.153,-0.261,-0.256,0.024
'0:00.027',-0.076,-0.330,-0.253,0.203,0.088,-0.291,-0.090,-0.067,-0.074,-0.126,-0.206,-0.156,-0.262,-0.258,0.027
'0:00.028',-0.077,-0.342,-0.264,0.209,0.093,-0.303,-0.089,-0.066,-0.072,-0.127,-0.208,-0.158,-0.264,-0.266,0.027
'0:00.029',-0.075,-0.341,-0.265,0.208,0.095,-0.303,-0.089,-0.066,-0.073,-0.124,-0.204,-0.154,-0.262,-0.268,0.025
'0:00.030',-0.077,-0.340,-0.262,0.208,0.092,-0.300,-0.091,-0.068,-0.074,-0.126,-0.205,-0.152,-0.260,-0.264,0.024
'0:00.031',-0.073,-0.330,-0.256,0.201,0.091,-0.292,-0.092,-0.067,-0.074,-0.128,-0.205,-0.153,-0.261,-0.260,0.023
'0:00.032',-0.070,-0.322,-0.251,0.196,0.090,-0.286,-0.093,-0.070,-0.075,-0.128,-0.204,-0.153,-0.260,-0.258,0.024
'0:00.033',-0.077,-0.331,-0.253,0.204,0.088,-0.292,-0.093,-0.070,-0.075,-0.128,-0.207,-0.153,-0.260,-0.261,0.025
'0:00.034',-0.081,-0.346,-0.265,0.213,0.092,-0.305,-0.093,-0.069,-0.077,-0.131,-0.210,-0.159,-0.264,-0.269,0.029
'0:00.035',-0.084,-0.348,-0.264,0.216,0.090,-0.306,-0.093,-0.070,-0.079,-0.133,-0.211,-0.160,-0.263,-0.267,0.032
'0:00.036',-0.081,-0.345,-0.265,0.213,0.092,-0.305,-0.091,-0.068,-0.075,-0.131,-0.209,-0.158,-0.263,-0.268,0.030
'0:00.037',-0.077,-0.341,-0.263,0.209,0.093,-0.302,-0.093,-0.070,-0.078,-0.133,-0.213,-0.162,-0.265,-0.267,0.030
'0:00.038',-0.080,-0.336,-0.256,0.207,0.088,-0.295,-0.093,-0.071,-0.080,-0.133,-0.212,-0.161,-0.264,-0.264,0.031
'0:00.039',-0.075,-0.342,-0.266,0.208,0.096,-0.303,-0.087,-0.065,-0.074,-0.128,-0.208,-0.158,-0.265,-0.272,0.032
'0:00.040',-0.073,-0.344,-0.271,0.208,0.099,-0.307,-0.083,-0.062,-0.070,-0.124,-0.206,-0.155,-0.265,-0.275,0.032
'0:00.041',-0.074,-0.347,-0.272,0.210,0.099,-0.309,-0.084,-0.061,-0.071,-0.125,-0.204,-0.155,-0.263,-0.276,0.033
'0:00.042',-0.077,-0.347,-0.270,0.212,0.096,-0.308,-0.086,-0.064,-0.073,-0.128,-0.206,-0.155,-0.263,-0.273,0.033
'0:00.043',-0.077,-0.336,-0.258,0.206,0.090,-0.296,-0.089,-0.069,-0.075,-0.129,-0.208,-0.157,-0.264,-0.268,0.031
'0:00.044',-0.075,-0.330,-0.255,0.202,0.090,-0.292,-0.091,-0.068,-0.075,-0.129,-0.206,-0.154,-0.263,-0.265,0.029
'0:00.045',-0.084,-0.341,-0.257,0.212,0.087,-0.299,-0.090,-0.069,-0.076,-0.129,-0.205,-0.153,-0.263,-0.267,0.027
'0:00.046',-0.086,-0.347,-0.261,0.216,0.088,-0.304,-0.090,-0.068,-0.076,-0.128,-0.204,-0.152,-0.263,-0.269,0.026
'0:00.047',-0.083,-0.355,-0.273,0.218,0.096,-0.314,-0.087,-0.065,-0.072,-0.123,-0.201,-0.150,-0.263,-0.274,0.027
'0:00.048',-0.086,-0.358,-0.272,0.222,0.093,-0.316,-0.088,-0.066,-0.072,-0.125,-0.201,-0.152,-0.263,-0.277,0.028
'0:00.049',-0.086,-0.341,-0.256,0.213,0.085,-0.298,-0.092,-0.070,-0.080,-0.131,-0.205,-0.153,-0.262,-0.265,0.027
'0:00.050',-0.080,-0.334,-0.253,0.206,0.086,-0.293,-0.092,-0.072,-0.081,-0.131,-0.205,-0.154,-0.263,-0.261,0.025
'0:00.051',-0.077,-0.335,-0.258,0.206,0.090,-0.296,-0.089,-0.068,-0.077,-0.128,-0.202,-0.150,-0.263,-0.263,0.025
'0:00.052',-0.079,-0.337,-0.257,0.207,0.089,-0.297,-0.090,-0.070,-0.077,-0.127,-0.203,-0.150,-0.262,-0.261,0.026
'0:00.053',-0.082,-0.340,-0.257,0.210,0.088,-0.298,-0.092,-0.071,-0.076,-0.130,-0.207,-0.155,-0.262,-0.260,0.029
'0:00.054',-0.082,-0.345,-0.263,0.213,0.091,-0.304,-0.091,-0.070,-0.077,-0.131,-0.207,-0.155,-0.262,-0.264,0.031
'0:00.055',-0.081,-0.347,-0.266,0.214,0.092,-0.306,-0.089,-0.070,-0.076,-0.130,-0.207,-0.154,-0.262,-0.264,0.034
'0:00.056',-0.082,-0.347,-0.265,0.214,0.091,-0.306,-0.089,-0.070,-0.076,-0.131,-0.208,-0.157,-0.262,-0.259,0.034
'0:00.057',-0.082,-0.345,-0.263,0.213,0.091,-0.304,-0.090,-0.071,-0.079,-0.134,-0.210,-0.159,-0.264,-0.265,0.033
'0:00.058',-0.080,-0.344,-0.265,0.212,0.093,-0.304,-0.086,-0.069,-0.076,-0.132,-0.208,-0.155,-0.265,-0.270,0.033
'0:00.059',-0.075,-0.345,-0.270,0.210,0.097,-0.307,-0.085,-0.066,-0.073,-0.127,-0.205,-0.154,-0.264,-0.268,0.034
'0:00.060',-0.070,-0.341,-0.271,0.205,0.101,-0.306,-0.084,-0.063,-0.070,-0.126,-0.205,-0.153,-0.266,-0.269,0.034
'0:00.061',-0.071,-0.346,-0.274,0.208,0.101,-0.310,-0.083,-0.062,-0.069,-0.126,-0.204,-0.152,-0.265,-0.275,0.035
'0:00.062',-0.078,-0.353,-0.274,0.215,0.098,-0.314,-0.086,-0.065,-0.073,-0.127,-0.204,-0.153,-0.264,-0.280,0.034
'0:00.063',-0.084,-0.357,-0.273,0.220,0.095,-0.315,-0.087,-0.067,-0.075,-0.130,-0.205,-0.153,-0.263,-0.281,0.032
'0:00.064',-0.086,-0.345,-0.258,0.215,0.086,-0.301,-0.092,-0.072,-0.080,-0.133,-0.209,-0.157,-0.263,-0.271,0.031
'0:00.065',-0.089,-0.330,-0.240,0.209,0.075,-0.285,-0.099,-0.080,-0.086,-0.141,-0.215,-0.164,-0.266,-0.257,0.029
'0:00.066',-0.088,-0.324,-0.235,0.205,0.073,-0.279,-0.099,-0.080,-0.087,-0.140,-0.216,-0.165,-0.266,-0.255,0.029
'0:00.067',-0.085,-0.335,-0.250,0.209,0.083,-0.292,-0.093,-0.074,-0.082,-0.134,-0.210,-0.158,-0.264,-0.262,0.031
'0:00.068',-0.080,-0.345,-0.265,0.212,0.092,-0.305,-0.088,-0.070,-0.075,-0.130,-0.203,-0.153,-0.264,-0.273,0.031
'0:00.069',-0.075,-0.328,-0.252,0.202,0.088,-0.290,-0.091,-0.071,-0.078,-0.130,-0.205,-0.155,-0.263,-0.266,0.029
'0:00.070',-0.083,-0.325,-0.242,0.203,0.080,-0.283,-0.096,-0.078,-0.084,-0.138,-0.210,-0.160,-0.263,-0.257,0.028
'0:00.071',-0.086,-0.334,-0.246,0.210,0.080,-0.290,-0.097,-0.079,-0.086,-0.138,-0.211,-0.161,-0.263,-0.261,0.026
'0:00.072',-0.087,-0.348,-0.260,0.217,0.086,-0.304,-0.093,-0.074,-0.079,-0.132,-0.205,-0.153,-0.261,-0.266,0.028
'0:00.073',-0.080,-0.350,-0.271,0.215,0.096,-0.310,-0.087,-0.070,-0.075,-0.128,-0.200,-0.148,-0.260,-0.271,0.030
'0:00.074',-0.071,-0.344,-0.272,0.207,0.101,-0.307,-0.084,-0.065,-0.071,-0.125,-0.200,-0.149,-0.260,-0.272,0.033
'0:00.075',-0.069,-0.342,-0.273,0.205,0.102,-0.307,-0.085,-0.066,-0.072,-0.126,-0.203,-0.151,-0.261,-0.268,0.034
'0:00.076',-0.066,-0.338,-0.272,0.202,0.103,-0.305,-0.086,-0.067,-0.073,-0.128,-0.204,-0.152,-0.263,-0.270,0.035
'0:00.077',-0.073,-0.343,-0.269,0.208,0.098,-0.306,-0.087,-0.069,-0.076,-0.132,-0.207,-0.154,-0.263,-0.270,0.035
'0:00.078',-0.075,-0.344,-0.268,0.209,0.097,-0.306,-0.090,-0.072,-0.080,-0.134,-0.209,-0.155,-0.263,-0.270,0.034
'0:00.079',-0.076,-0.352,-0.276,0.214,0.100,-0.314,-0.088,-0.071,-0.079,-0.132,-0.207,-0.155,-0.263,-0.276,0.035
'0:00.080',-0.081,-0.364,-0.283,0.222,0.102,-0.324,-0.084,-0.067,-0.074,-0.129,-0.203,-0.153,-0.262,-0.279,0.036
'0:00.081',-0.082,-0.362,-0.281,0.222,0.100,-0.322,-0.084,-0.066,-0.074,-0.127,-0.201,-0.150,-0.261,-0.279,0.037
'0:00.082',-0.086,-0.360,-0.274,0.223,0.095,-0.317,-0.087,-0.070,-0.077,-0.131,-0.207,-0.157,-0.264,-0.277,0.036
'0:00.083',-0.086,-0.361,-0.274,0.224,0.093,-0.317,-0.088,-0.071,-0.077,-0.133,-0.209,-0.156,-0.264,-0.278,0.035
'0:00.084',-0.087,-0.355,-0.268,0.221,0.090,-0.311,-0.089,-0.072,-0.080,-0.131,-0.206,-0.152,-0.262,-0.277,0.032
'0:00.085',-0.086,-0.348,-0.262,0.217,0.087,-0.305,-0.091,-0.074,-0.082,-0.131,-0.205,-0.151,-0.260,-0.272,0.029
'0:00.086',-0.088,-0.345,-0.257,0.216,0.085,-0.301,-0.094,-0.076,-0.084,-0.132,-0.205,-0.151,-0.259,-0.267,0.030
'0:00.087',-0.092,-0.351,-0.259,0.221,0.084,-0.304,-0.093,-0.075,-0.084,-0.133,-0.207,-0.154,-0.262,-0.270,0.030
'0:00.088',-0.089,-0.358,-0.269,0.224,0.090,-0.314,-0.090,-0.074,-0.082,-0.133,-0.207,-0.154,-0.263,-0.274,0.032
'0:00.089',-0.085,-0.356,-0.271,0.221,0.093,-0.314,-0.088,-0.071,-0.080,-0.130,-0.204,-0.151,-0.261,-0.268,0.031
'0:00.090',-0.086,-0.354,-0.268,0.220,0.091,-0.311,-0.090,-0.072,-0.080,-0.130,-0.204,-0.149,-0.260,-0.264,0.028
'0:00.091',-0.084,-0.344,-0.260,0.214,0.088,-0.302,-0.093,-0.075,-0.081,-0.132,-0.204,-0.150,-0.260,-0.259,0.026
'0:00.092',-0.080,-0.337,-0.257,0.208,0.088,-0.296,-0.092,-0.075,-0.083,-0.133,-0.205,-0.151,-0.259,-0.254,0.028
'0:00.093',-0.074,-0.328,-0.253,0.201,0.089,-0.290,-0.091,-0.075,-0.084,-0.134,-0.208,-0.154,-0.261,-0.251,0.030
'0:00.094',-0.078,-0.332,-0.253,0.204,0.087,-0.292,-0.091,-0.075,-0.085,-0.137,-0.210,-0.157,-0.262,-0.255,0.033
'0:00.095',-0.086,-0.349,-0.263,0.217,0.089,-0.306,-0.091,-0.074,-0.084,-0.136,-0.211,-0.158,-0.263,-0.265,0.034
'0:00.096',-0.087,-0.358,-0.271,0.222,0.092,-0.315,-0.089,-0.073,-0.082,-0.136,-0.210,-0.157,-0.264,-0.273,0.035
'0:00.097',-0.086,-0.356,-0.270,0.221,0.092,-0.312,-0.090,-0.073,-0.082,-0.135,-0.209,-0.157,-0.264,-0.277,0.034
'0:00.098',-0.079,-0.347,-0.267,0.213,0.094,-0.307,-0.087,-0.071,-0.081,-0.133,-0.207,-0.153,-0.262,-0.272,0.033
'0:00.099',-0.084,-0.360,-0.276,0.222,0.096,-0.318,-0.086,-0.069,-0.079,-0.131,-0.207,-0.153,-0.262,-0.274,0.035
'0:00.100',-0.088,-0.371,-0.283,0.230,0.098,-0.328,-0.086,-0.068,-0.077,-0.131,-0.206,-0.153,-0.263,-0.281,0.037
'0:00.101',-0.086,-0.371,-0.285,0.228,0.101,-0.329,-0.084,-0.067,-0.077,-0.131,-0.207,-0.154,-0.264,-0.284,0.036
'0:00.102',-0.084,-0.365,-0.281,0.225,0.099,-0.324,-0.084,-0.067,-0.077,-0.131,-0.209,-0.153,-0.264,-0.284,0.037
'0:00.103',-0.074,-0.351,-0.277,0.213,0.101,-0.314,-0.082,-0.067,-0.075,-0.127,-0.204,-0.150,-0.263,-0.281,0.035
'0:00.104',-0.076,-0.351,-0.275,0.213,0.100,-0.313,-0.084,-0.068,-0.075,-0.127,-0.203,-0.148,-0.263,-0.282,0.032
'0:00.105',-0.087,-0.360,-0.272,0.224,0.092,-0.316,-0.085,-0.070,-0.077,-0.127,-0.203,-0.147,-0.261,-0.281,0.032
'0:00.106',-0.090,-0.357,-0.267,0.223,0.089,-0.312,-0.088,-0.072,-0.078,-0.125,-0.200,-0.149,-0.260,-0.276,0.029
'0:00.107',-0.084,-0.352,-0.268,0.218,0.092,-0.310,-0.088,-0.071,-0.080,-0.130,-0.204,-0.150,-0.262,-0.275,0.032
'0:00.108',-0.081,-0.355,-0.274,0.217,0.097,-0.315,-0.084,-0.070,-0.078,-0.131,-0.204,-0.148,-0.263,-0.278,0.033
'0:00.109',-0.083,-0.352,-0.269,0.217,0.093,-0.310,-0.087,-0.072,-0.080,-0.130,-0.204,-0.149,-0.262,-0.274,0.033
'0:00.110',-0.087,-0.345,-0.258,0.216,0.086,-0.301,-0.092,-0.077,-0.085,-0.135,-0.207,-0.153,-0.261,-0.265,0.029
'0:00.111',-0.085,-0.339,-0.253,0.211,0.085,-0.296,-0.093,-0.079,-0.086,-0.135,-0.207,-0.152,-0.260,-0.259,0.028
'0:00.112',-0.083,-0.340,-0.257,0.211,0.087,-0.298,-0.093,-0.076,-0.085,-0.133,-0.204,-0.151,-0.261,-0.260,0.029
'0:00.113',-0.086,-0.346,-0.259,0.216,0.086,-0.303,-0.091,-0.075,-0.082,-0.133,-0.205,-0.152,-0.261,-0.264,0.031
'0:00.114',-0.080,-0.346,-0.265,0.213,0.093,-0.305,-0.092,-0.074,-0.082,-0.134,-0.209,-0.152,-0.260,-0.264,0.035
'0:00.115',-0.071,-0.339,-0.268,0.205,0.099,-0.303,-0.090,-0.072,-0.082,-0.135,-0.208,-0.154,-0.262,-0.263,0.035
'0:00.116',-0.073,-0.337,-0.263,0.204,0.096,-0.300,-0.087,-0.070,-0.077,-0.132,-0.207,-0.155,-0.263,-0.262,0.035
'0:00.117',-0.082,-0.342,-0.259,0.211,0.088,-0.300,-0.090,-0.073,-0.081,-0.135,-0.210,-0.156,-0.263,-0.262,0.035
'0:00.118',-0.088,-0.350,-0.261,0.219,0.086,-0.305,-0.091,-0.074,-0.084,-0.136,-0.211,-0.156,-0.262,-0.265,0.033
'0:00.119',-0.088,-0.358,-0.270,0.223,0.091,-0.314,-0.089,-0.071,-0.080,-0.132,-0.208,-0.154,-0.262,-0.272,0.035
'0:00.120',-0.085,-0.355,-0.271,0.220,0.093,-0.313,-0.087,-0.070,-0.079,-0.133,-0.208,-0.154,-0.263,-0.274,0.036
'0:00.121',-0.079,-0.357,-0.278,0.218,0.100,-0.318,-0.082,-0.067,-0.074,-0.130,-0.206,-0.151,-0.263,-0.277,0.037
'0:00.122',-0.082,-0.365,-0.283,0.224,0.101,-0.325,-0.082,-0.065,-0.072,-0.129,-0.203,-0.150,-0.264,-0.281,0.037
'0:00.123',-0.088,-0.364,-0.275,0.226,0.093,-0.320,-0.087,-0.070,-0.077,-0.132,-0.207,-0.152,-0.263,-0.276,0.035
'0:00.124',-0.091,-0.356,-0.265,0.223,0.087,-0.310,-0.091,-0.073,-0.081,-0.135,-0.208,-0.151,-0.261,-0.274,0.034
'0:00.125',-0.092,-0.361,-0.268,0.227,0.088,-0.315,-0.088,-0.071,-0.079,-0.131,-0.203,-0.148,-0.260,-0.281,0.032
'0:00.126',-0.092,-0.361,-0.269,0.227,0.088,-0.315,-0.088,-0.072,-0.079,-0.131,-0.204,-0.148,-0.261,-0.280,0.030
'0:00.127',-0.092,-0.357,-0.265,0.225,0.086,-0.311,-0.089,-0.073,-0.080,-0.132,-0.205,-0.151,-0.261,-0.275,0.031
'0:00.128',-0.093,-0.369,-0.275,0.231,0.091,-0.322,-0.086,-0.071,-0.076,-0.129,-0.201,-0.149,-0.261,-0.282,0.033
'0:00.129',-0.093,-0.361,-0.268,0.227,0.087,-0.315,-0.091,-0.074,-0.079,-0.132,-0.203,-0.149,-0.260,-0.280,0.032
'0:00.130',-0.096,-0.347,-0.252,0.221,0.079,-0.300,-0.096,-0.080,-0.083,-0.137,-0.207,-0.153,-0.258,-0.270,0.030
'0:00.131',-0.098,-0.348,-0.250,0.223,0.076,-0.299,-0.097,-0.081,-0.085,-0.138,-0.209,-0.153,-0.260,-0.264,0.029
'0:00.132',-0.098,-0.344,-0.246,0.221,0.074,-0.295,-0.097,-0.081,-0.086,-0.140,-0.210,-0.154,-0.261,-0.262,0.029
'0:00.133',-0.095,-0.346,-0.252,0.221,0.079,-0.299,-0.095,-0.080,-0.086,-0.139,-0.210,-0.155,-0.260,-0.263,0.031
'0:00.134',-0.096,-0.355,-0.259,0.226,0.082,-0.307,-0.095,-0.080,-0.087,-0.140,-0.212,-0.156,-0.261,-0.266,0.034
'0:00.135',-0.100,-0.363,-0.263,0.231,0.082,-0.313,-0.096,-0.079,-0.086,-0.141,-0.212,-0.159,-0.262,-0.271,0.036
'0:00.136',-0.097,-0.368,-0.271,0.233,0.087,-0.319,-0.091,-0.075,-0.084,-0.137,-0.211,-0.157,-0.263,-0.270,0.037
'0:00.137',-0.096,-0.366,-0.271,0.231,0.088,-0.319,-0.092,-0.077,-0.084,-0.139,-0.211,-0.155,-0.263,-0.270,0.036
'0:00.138',-0.098,-0.364,-0.266,0.231,0.085,-0.316,-0.094,-0.079,-0.083,-0.138,-0.208,-0.152,-0.259,-0.275,0.035
'0:00.139',-0.098,-0.359,-0.261,0.228,0.082,-0.310,-0.094,-0.079,-0.085,-0.139,-0.211,-0.155,-0.261,-0.275,0.036
'0:00.140',-0.089,-0.355,-0.265,0.222,0.088,-0.310,-0.092,-0.075,-0.083,-0.139,-0.212,-0.157,-0.263,-0.271,0.040
'0:00.141',-0.084,-0.351,-0.267,0.217,0.091,-0.308,-0.088,-0.073,-0.081,-0.136,-0.209,-0.155,-0.262,-0.270,0.040
'0:00.142',-0.092,-0.358,-0.265,0.225,0.087,-0.311,-0.090,-0.075,-0.081,-0.136,-0.208,-0.154,-0.261,-0.273,0.038
'0:00.143',-0.099,-0.364,-0.265,0.232,0.083,-0.315,-0.092,-0.077,-0.083,-0.137,-0.210,-0.153,-0.261,-0.276,0.036
'0:00.144',-0.097,-0.355,-0.257,0.226,0.081,-0.306,-0.094,-0.079,-0.086,-0.140,-0.212,-0.157,-0.262,-0.274,0.035
'0:00.145',-0.091,-0.339,-0.247,0.214,0.079,-0.293,-0.096,-0.079,-0.086,-0.139,-0.211,-0.156,-0.263,-0.269,0.034
'0:00.146',-0.080,-0.331,-0.250,0.205,0.085,-0.290,-0.090,-0.076,-0.082,-0.134,-0.208,-0.151,-0.262,-0.270,0.033
'0:00.147',-0.080,-0.343,-0.263,0.211,0.091,-0.302,-0.086,-0.072,-0.079,-0.132,-0.203,-0.147,-0.261,-0.277,0.036
'0:00.148',-0.090,-0.354,-0.263,0.222,0.086,-0.308,-0.086,-0.072,-0.080,-0.132,-0.204,-0.149,-0.262,-0.279,0.035
'0:00.149',-0.093,-0.357,-0.264,0.225,0.086,-0.310,-0.087,-0.072,-0.079,-0.132,-0.204,-0.148,-0.261,-0.276,0.032
'0:00.150',-0.089,-0.349,-0.259,0.219,0.085,-0.304,-0.091,-0.076,-0.081,-0.132,-0.203,-0.148,-0.258,-0.265,0.029
'0:00.151',-0.086,-0.338,-0.251,0.211,0.083,-0.294,-0.093,-0.079,-0.085,-0.135,-0.204,-0.150,-0.259,-0.259,0.029
'0:00.152',-0.091,-0.341,-0.249,0.216,0.079,-0.295,-0.093,-0.077,-0.086,-0.137,-0.207,-0.151,-0.261,-0.259,0.032
'0:00.153',-0.091,-0.338,-0.247,0.214,0.078,-0.292,-0.094,-0.078,-0.085,-0.136,-0.208,-0.154,-0.261,-0.259,0.033
'0:00.154',-0.086,-0.338,-0.251,0.212,0.083,-0.294,-0.093,-0.077,-0.084,-0.138,-0.210,-0.155,-0.262,-0.262,0.036
'0:00.155',-0.087,-0.351,-0.263,0.219,0.087,-0.307,-0.088,-0.073,-0.080,-0.136,-0.208,-0.152,-0.263,-0.271,0.036
'0:00.156',-0.090,-0.359,-0.269,0.224,0.089,-0.314,-0.088,-0.072,-0.080,-0.135,-0.208,-0.152,-0.262,-0.273,0.036
'0:00.157',-0.093,-0.353,-0.260,0.223,0.084,-0.306,-0.091,-0.073,-0.082,-0.136,-0.210,-0.153,-0.263,-0.267,0.036
'0:00.158',-0.087,-0.348,-0.261,0.217,0.087,-0.304,-0.088,-0.071,-0.079,-0.132,-0.207,-0.150,-0.262,-0.272,0.035
'0:00.159',-0.092,-0.362,-0.270,0.227,0.089,-0.316,-0.087,-0.071,-0.080,-0.133,-0.206,-0.151,-0.262,-0.281,0.037
'0:00.160',-0.097,-0.371,-0.274,0.234,0.089,-0.323,-0.086,-0.071,-0.079,-0.135,-0.207,-0.152,-0.262,-0.282,0.039
'0:00.161',-0.094,-0.366,-0.273,0.230,0.090,-0.320,-0.086,-0.071,-0.079,-0.133,-0.208,-0.153,-0.263,-0.279,0.038
'0:00.162',-0.096,-0.366,-0.269,0.231,0.086,-0.318,-0.090,-0.072,-0.083,-0.137,-0.213,-0.158,-0.263,-0.275,0.039
'0:00.163',-0.096,-0.361,-0.265,0.228,0.085,-0.314,-0.091,-0.074,-0.085,-0.139,-0.212,-0.157,-0.263,-0.272,0.037
'0:00.164',-0.096,-0.352,-0.255,0.224,0.080,-0.303,-0.093,-0.079,-0.087,-0.138,-0.210,-0.156,-0.262,-0.271,0.034
'0:00.165',-0.098,-0.352,-0.255,0.225,0.079,-0.303,-0.093,-0.077,-0.086,-0.136,-0.207,-0.151,-0.260,-0.268,0.034
'0:00.166',-0.091,-0.348,-0.256,0.220,0.083,-0.302,-0.091,-0.074,-0.083,-0.134,-0.206,-0.148,-0.260,-0.265,0.032
'0:00.167',-0.080,-0.340,-0.260,0.209,0.090,-0.299,-0.088,-0.073,-0.082,-0.132,-0.205,-0.148,-0.261,-0.263,0.034
'0:00.168',-0.071,-0.332,-0.260,0.201,0.095,-0.295,-0.085,-0.069,-0.077,-0.129,-0.200,-0.143,-0.259,-0.266,0.033
'0:00.169',-0.076,-0.326,-0.248,0.201,0.086,-0.287,-0.087,-0.072,-0.079,-0.131,-0.202,-0.145,-0.258,-0.265,0.034
'0:00.170',-0.096,-0.341,-0.245,0.218,0.075,-0.293,-0.095,-0.080,-0.087,-0.138,-0.211,-0.153,-0.260,-0.262,0.033
'0:00.171',-0.103,-0.351,-0.247,0.228,0.072,-0.299,-0.100,-0.084,-0.091,-0.141,-0.213,-0.156,-0.258,-0.259,0.030
'0:00.172',-0.102,-0.345,-0.243,0.224,0.071,-0.294,-0.099,-0.086,-0.091,-0.141,-0.212,-0.157,-0.259,-0.254,0.033
'0:00.173',-0.100,-0.345,-0.245,0.222,0.073,-0.295,-0.099,-0.083,-0.090,-0.142,-0.215,-0.155,-0.259,-0.255,0.034
'0:00.174',-0.097,-0.353,-0.256,0.225,0.080,-0.304,-0.096,-0.080,-0.086,-0.141,-0.215,-0.156,-0.261,-0.263,0.036
